Statistic Label,Year,Household Disposable Income Quintiles,Expenditure,UNIT,VALUE
Average weekly household expenditure,2023,3rd quintile,Total alcohol and tobacco (02),Euro,25.26
Average weekly household expenditure,2023,3rd quintile,Alcohol (02.01),Euro,19.43
Average weekly household expenditure,2023,3rd quintile,Tobacco (02.02),Euro,5.83
Average weekly household expenditure,2023,3rd quintile,Total clothing and footwear (03),Euro,38.13
Average weekly household expenditure,2023,3rd quintile,Total fuel and light (04),Euro,63.97
Average weekly household expenditure,2023,3rd quintile,Electricity (04.01),Euro,34.88
Average weekly household expenditure,2023,3rd quintile,Gas (04.02),Euro,12.24
Average weekly household expenditure,2023,3rd quintile,Liquid Fuels (e.g. heating oil) (04.03),Euro,10.26
Average weekly household expenditure,2023,3rd quintile,Solid Fuels (04.04),Euro,6.59
Average weekly household expenditure,2023,3rd quintile,Total housing (05),Euro,151.9
Average weekly household expenditure,2023,3rd quintile,Rent paid for primary dwelling (05.01),Euro,58.22
Average weekly household expenditure,2023,3rd quintile,Mortgage payment (primary dwelling) (05.02),Euro,46.1
Average weekly household expenditure,2023,3rd quintile,Primary dwelling insurance (05.03),Euro,5.44
Average weekly household expenditure,2023,3rd quintile,Local property tax (05.04),Euro,3.57
Average weekly household expenditure,2023,3rd quintile,Refuse/sewage collection and skip hire (05.05),Euro,5.82
Average weekly household expenditure,2023,3rd quintile,"Services for maintenance and repair of the dwelling (e.g. electrician, painter) (05.06)",Euro,6.82
Average weekly household expenditure,2023,3rd quintile,Capital improvements (05.07),Euro,16.96
Average weekly household expenditure,2023,3rd quintile,Other housing costs (05.08),Euro,8.98
Average weekly household expenditure,2023,3rd quintile,Total household non-durable goods (06),Euro,21.99
Average weekly household expenditure,2023,3rd quintile,Household cleaning products and non-durable small household articles (06.01),Euro,7.57
Average weekly household expenditure,2023,3rd quintile,Toiletries and related produtcs (06.02),Euro,7.41
Average weekly household expenditure,2023,3rd quintile,Hair and cosmetic products (06.03),Euro,7.01
Average weekly household expenditure,2023,3rd quintile,Total household durable goods (07),Euro,33.82
Average weekly household expenditure,2023,3rd quintile,"Household furniture, including repairs (07.01)",Euro,10.21
Average weekly household expenditure,2023,3rd quintile,Household textiles (07.02),Euro,2.88
Average weekly household expenditure,2023,3rd quintile,"Major household appliances (e.g. fridges, washing machine, cookers) (07.03)",Euro,3.81
Average weekly household expenditure,2023,3rd quintile,Other household appliances (07.04),Euro,1.05
Average weekly household expenditure,2023,3rd quintile,"Delph, cutlery and kitchen utensils (07.05)",Euro,3.25
Average weekly household expenditure,2023,3rd quintile,Garden furniture and accessories (07.06),Euro,1.34
Average weekly household expenditure,2023,3rd quintile,"Computers (including laptops, tablets, game consoles) and accessories (07.07)",Euro,3.36
Average weekly household expenditure,2023,3rd quintile,Televisions and other media players (07.08),Euro,1.29
Average weekly household expenditure,2023,3rd quintile,Fancy and decorative goods (e.g. mirrors) (07.09),Euro,3.12
Average weekly household expenditure,2023,3rd quintile,Other household durable items (07.10),Euro,3.51
Average weekly household expenditure,2023,3rd quintile,Total transport (08),Euro,136.24
Average weekly household expenditure,2023,3rd quintile,Vehicles (net of trade in) (08.01),Euro,41.75
Average weekly household expenditure,2023,3rd quintile,Motor Fuel (08.02),Euro,41.62
Average weekly household expenditure,2023,3rd quintile,"Insurance, tax and fines (08.03)",Euro,26.7
Average weekly household expenditure,2023,3rd quintile,Vehicle maintenance and other costs (08.04),Euro,10.45
Average weekly household expenditure,2023,3rd quintile,"Bus, Luas, rail and taxi (08.05)",Euro,4.5
Average weekly household expenditure,2023,3rd quintile,Other transport expenditure (08.06),Euro,11.22
Average weekly household expenditure,2023,3rd quintile,"Total miscellaneous goods, services and other expenditure (09)",Euro,268.49
Average weekly household expenditure,2023,3rd quintile,Medical expenses/services and therapeutic equipment (09.01),Euro,24.41
Average weekly household expenditure,2023,3rd quintile,"Telephone, mobile and car phone (09.02)",Euro,16.72
Average weekly household expenditure,2023,3rd quintile,"Internet, telephone and television subscriptions (09.03)",Euro,24.09
Average weekly household expenditure,2023,3rd quintile,Internet subscription fees (not bundled) (09.03.01),Euro,4.43
Average weekly household expenditure,2023,3rd quintile,TV licences (09.03.02),Euro,2
Average weekly household expenditure,2023,3rd quintile,Satellite and cable TV subscription (09.03.03),Euro,3
Average weekly household expenditure,2023,3rd quintile,Bundled subscription fees (09.03.04),Euro,10.83
Average weekly household expenditure,2023,3rd quintile,"Downloads, streaming, apps and other internet services n.e.c (09.03.05)",Euro,3.83
Average weekly household expenditure,2023,3rd quintile,Admission and subscription charges - sports and leisure (09.04),Euro,18.94
Average weekly household expenditure,2023,3rd quintile,Betting and lotteries (09.05),Euro,2.02
Average weekly household expenditure,2023,3rd quintile,Reading materials (09.06),Euro,6.58
Average weekly household expenditure,2023,3rd quintile,Education and training (09.07),Euro,7.2
Average weekly household expenditure,2023,3rd quintile,Games and items for sports and open-air recreation (09.08),Euro,2.25
Average weekly household expenditure,2023,3rd quintile,Holiday expenditure (09.09),Euro,48.34
Average weekly household expenditure,2023,3rd quintile,Insurance/pension premiums (09.10),Euro,62.57
Average weekly household expenditure,2023,3rd quintile,Medical/dental insurance (09.10.01),Euro,25.51
Average weekly household expenditure,2023,3rd quintile,Other insurance premiums (09.10.02),Euro,7.92
Average weekly household expenditure,2023,3rd quintile,Pension contributions (09.10.03),Euro,29.14
Average weekly household expenditure,2023,3rd quintile,Pet costs (09.11),Euro,7.42
Average weekly household expenditure,2023,3rd quintile,Legal/Professional/Banking fees (09.12),Euro,7.53
Average weekly household expenditure,2023,3rd quintile,"Plants, flowers, seeds, fertilisers and insecticides (09.13)",Euro,2.68
Average weekly household expenditure,2023,3rd quintile,Hairdressing and personal grooming (09.14),Euro,7.26
Average weekly household expenditure,2023,3rd quintile,Personal goods (09.15),Euro,4.06
Average weekly household expenditure,2023,3rd quintile,Baby equipment (09.16),Euro,0.2
Average weekly household expenditure,2023,3rd quintile,Childcare (09.17),Euro,4.61
Average weekly household expenditure,2023,3rd quintile,"Other care, domestic and household services (09.18)",Euro,3.11
Average weekly household expenditure,2023,3rd quintile,Charitable donations and subscriptions (09.19),Euro,1.98
